code,product_name,nova_group,energy-kcal_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,sodium_100g
80177173,Nutella,4,539.0,6.3,30.9,10.6,57.5,56.3,,,,,,0.0428
3362600011044,Henry’s,4,440.0,7.6471,10.8235,5.2941,76.4706,24.2353,2.3529,,0.013,0.0009,,0.3529412
6111032000600,Salim,1,58.0,3.0,3.0,2.0,4.8,,,,0.12,,,
5449000214911,Coca-Cola,4,42.0,0.0,0.0,0.0,10.6,10.6,,,,,,0.0
6111242100305,Cremy,4,109.0,3.6,3.0,0.4,16.9,2.0,,,,,,0.0
80135463,,4,539.0,6.3,30.9,10.6,57.5,56.3,,,,0.0,,0.0428
5449000061515,Ciel,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,,0.002,0.02
8425197712024,,4,539.0,7.2,33.0,25.0,53.0,50.0,,,,,,0.11
6111128000088,ain saiss 50cl,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
6111246721278,Cream cheese,3,257.0,10.0,18.0,0.0,3.1,0.0,0.0,,,,,0.0
5740900404465,Spreadable Slightly Salted,2,706.0,0.5,78.0,35.0,0.6,0.6,,,,,,0.354
6111035003523,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
7622210578464,Organic 70% Dark Chocolate Bar,3,580.0,9.1,42.0,25.0,36.0,29.0,10.0,,,,,0.004
6111032006619,Jamila رايبي,4,72.0,1.9,1.7,1.1,12.4,9.0,0.0,,,,,0.0
6111251420166,Eau,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06773,,0.001,1.2e-06
6111252421575,Aquafina 50cl,1,1.0,0.1,0.1,0.1,0.1,0.1,0.0,,,,,0.04
8445290615350,sauce tomate cuisinée,4,68.0,1.6,0.4,0.0,7.6,4.4,2.0,0.0,,,,0.4
5449000214799,Coke Zero,4,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,0.004
3362600011228,Sable coco Henry s 42g,4,443.0,7.62,12.4,7.14,73.8,23.8,2.38,0.000952,,,,0.36
5411188112709,Geröstete Mandel Ohne Zucker,4,15.0,0.5,1.1,0.1,0.0,0.0,0.3,,0.12,,,0.06
